scenario,repeat,policy,globalAccuracy,cost,strongRouteRate,routineAccuracy,routineStrongRate,importantAccuracy,importantStrongRate,criticalAccuracy,criticalStrongRate
calibrated_control,430,global_threshold,0.9728333333333333,0.0047599999999999995,0.0475,0.9841723194097346,0.029870284422230158,0.9635399403380842,0.07093138879681803,0.8568965517241379,0.1810344827586207
calibrated_control,430,stratum_threshold,0.98,0.005354666666666666,0.08466666666666667,0.9841723194097346,0.029870284422230158,0.9821014252568777,0.09048723897911833,0.9086206896551724,0.8482758620689655
calibrated_control,430,oracle,0.9960833333333333,0.0050880000000000005,0.068,0.9984529334761395,0.04272283708199453,0.9953596287703016,0.10076234670202187,0.9655172413793104,0.2637931034482759
calibrated_control,431,strong_only,0.9553333333333334,0.02,1,0.9626491646778043,1,0.9405744470122153,1,0.9272419627749577,1
calibrated_control,431,global_threshold,0.9721666666666666,0.0047413333333333335,0.04633333333333333,0.9834128878281623,0.03162291169451074,0.9580719709475074,0.06206668867613074,0.8849407783417935,0.17428087986463622
calibrated_control,431,stratum_threshold,0.9801666666666666,0.005325333333333333,0.08283333333333333,0.9834128878281623,0.03162291169451074,0.9785407725321889,0.08319577418289864,0.9424703891708968,0.8071065989847716
calibrated_control,431,oracle,0.9956666666666667,0.0050680000000000005,0.06675,0.9976133651551312,0.043914081145584725,0.9937273027401783,0.09276989105315285,0.9780033840947546,0.2571912013536379
calibrated_control,432,strong_only,0.9525833333333333,0.02,1,0.964776119402985,1,0.9279038718291055,1,0.9077901430842608,1
calibrated_control,432,global_threshold,0.9711666666666666,0.004757333333333333,0.04733333333333333,0.9817313432835821,0.03044776119402985,0.9562750333778371,0.06775700934579439,0.9014308426073132,0.17488076311605724
calibrated_control,432,stratum_threshold,0.9790833333333333,0.005369333333333334,0.08558333333333333,0.9817313432835821,0.03044776119402985,0.9809746328437917,0.0931241655540721,0.9348171701112877,0.7837837837837838
calibrated_control,432,oracle,0.9958333333333333,0.005105333333333333,0.06908333333333333,0.9972537313432835,0.043940298507462686,0.9943257676902537,0.10146862483311081,0.9841017488076311,0.24960254372019078
calibrated_control,433,strong_only,0.9574166666666667,0.02,1,0.9680586773926416,1,0.9371005718129836,1,0.9059233449477352,1
calibrated_control,433,global_threshold,0.9708333333333333,0.004788000000000001,0.04925,0.9832012303324263,0.030285105879569382,0.9525731584258325,0.07265388496468214,0.8832752613240418,0.2073170731707317
calibrated_control,433,stratum_threshold,0.9774166666666667,0.005332,0.08325,0.9832012303324263,0.030285105879569382,0.9727547931382442,0.09519004372687521,0.9163763066202091,0.8013937282229965
calibrated_control,433,oracle,0.9950833333333333,0.005121333333333334,0.07008333333333333,0.9986986868567372,0.0445995504554596,0.989572822065254,0.1029263370332997,0.9703832752613241,0.27526132404181186
calibrated_control,434,strong_only,0.9560833333333333,0.02,1,0.9650191021967526,1,0.9403474270730908,1,0.9092495636998255,1
calibrated_control,434,global_threshold,0.973,0.0047413333333333335,0.04633333333333333,0.9836437440305635,0.028772683858643743,0.9649295313012127,0.063913470993117,0.8603839441535777,0.2094240837696335
calibrated_control,434,stratum_threshold,0.98025,0.005266666666666667,0.07916666666666666,0.9836437440305635,0.028772683858643743,0.9803343166175025,0.08062930186823992,0.9301919720767888,0.8080279232111692
calibrated_control,434,oracle,0.99575,0.0050613333333333335,0.06633333333333333,0.9983285577841452,0.04250238777459408,0.9937725335955424,0.08882333661094723,0.9685863874345549,0.2949389179755672
calibrated_control,435,strong_only,0.9553333333333334,0.02,1,0.9652101638565661,1,0.9388235294117647,1,0.8988391376451078,1
calibrated_control,435,global_threshold,0.97175,0.004756,0.04725,0.983614343386369,0.0301591071004512,0.9626890756302521,0.06756302521008403,0.8507462686567164,0.1857379767827529
calibrated_control,435,stratum_threshold,0.98,0.0053679999999999995,0.0855,0.983614343386369,0.0301591071004512,0.9828571428571429,0.08907563025210084,0.9154228855721394,0.8407960199004975
calibrated_control,435,oracle,0.9958333333333333,0.005102666666666667,0.06891666666666667,0.9988126335787224,0.044763714082165756,0.9936134453781512,0.09478991596638656,0.9651741293532339,0.27860696517412936
calibrated_control,436,strong_only,0.9520833333333333,0.02,1,0.9624384975399016,1,0.9321428571428572,1,0.909710391822828,1
calibrated_control,436,global_threshold,0.9726666666666667,0.004737333333333334,0.04608333333333333,0.984039361574463,0.02904116164646586,0.9616883116883117,0.06623376623376623,0.868824531516184,0.18228279386712096
calibrated_control,436,stratum_threshold,0.9800833333333333,0.005296,0.081,0.984039361574463,0.02904116164646586,0.9795454545454545,0.08538961038961039,0.9267461669505963,0.7955706984667802
calibrated_control,436,oracle,0.99575,0.00506,0.06625,0.9984399375975039,0.0422416896675867,0.9922077922077922,0.09123376623376624,0.9761499148211243,0.27597955706984667
calibrated_control,437,strong_only,0.9546666666666667,0.02,1,0.9661560384752405,1,0.9310113864701942,1,0.9106239460370995,1
calibrated_control,437,global_threshold,0.971,0.0047866666666666665,0.049166666666666664,0.9819498871867949,0.030637691485571786,0.9598124581379772,0.07300736771600803,0.8718381112984823,0.19224283305227655
calibrated_control,437,stratum_threshold,0.9798333333333333,0.005370666666666666,0.08566666666666667,0.9819498871867949,0.030637691485571786,0.9842598794373744,0.09778968519758875,0.927487352445194,0.806070826306914
calibrated_control,437,oracle,0.9959166666666667,0.005130666666666667,0.07066666666666667,0.9978624866405416,0.04453152832205201,0.9946416610850636,0.10314802411252512,0.9747048903878583,0.2782462057335582
calibrated_control,438,strong_only,0.9538333333333333,0.02,1,0.9648619576909286,1,0.9359786595531844,1,0.8927444794952681,1
calibrated_control,438,global_threshold,0.97175,0.004764,0.04775,0.9835066332018645,0.029042667622803872,0.9616538846282094,0.07002334111370456,0.8643533123028391,0.1892744479495268
calibrated_control,438,stratum_threshold,0.9791666666666666,0.005386666666666666,0.08666666666666667,0.9835066332018645,0.029042667622803872,0.9813271090363455,0.09236412137379127,0.9116719242902208,0.8201892744479495
calibrated_control,438,oracle,0.9946666666666667,0.0050746666666666666,0.06716666666666667,0.9985657941914665,0.04290665710529461,0.9913304434811604,0.09436478826275425,0.9589905362776026,0.2586750788643533
calibrated_control,439,strong_only,0.954,0.02,1,0.9671044846763697,1,0.9286921257181481,1,0.8932203389830509,1
calibrated_control,439,global_threshold,0.9714166666666667,0.0048200000000000005,0.05125,0.9840255591054313,0.03289551532363034,0.9570800946265631,0.07265968232510983,0.8627118644067797,0.20677966101694914
calibrated_control,439,stratum_threshold,0.98025,0.005396,0.08725,0.9840255591054313,0.03289551532363034,0.9827644474484624,0.09969584319026699,0.9135593220338983,0.8033898305084746
calibrated_control,439,oracle,0.9954166666666666,0.0051600000000000005,0.0725,0.9986983788900722,0.046858359957401494,0.9935789117945252,0.10510307536329841,0.9576271186440678,0.27627118644067794
calibrated_control,440,strong_only,0.9569166666666666,0.02,1,0.9662881476224272,1,0.939870174239836,1,0.9095315024232633,1
calibrated_control,440,global_threshold,0.9734166666666667,0.004776000000000001,0.0485,0.9841495150224746,0.02969008753252898,0.9586607447898873,0.06696276050563717,0.8966074313408724,0.21809369951534732
calibrated_control,440,stratum_threshold,0.9811666666666666,0.005357333333333335,0.08483333333333333,0.9841495150224746,0.02969008753252898,0.982917663136317,0.09190297232661428,0.9321486268174475,0.8045234248788369
calibrated_control,440,oracle,0.9963333333333333,0.005097333333333333,0.06858333333333333,0.9984622663827774,0.04305654128223326,0.9959002391527161,0.10146908097027674,0.9693053311793215,0.2617124394184168
calibrated_control,441,strong_only,0.95525,0.02,1,0.9694233778740821,1,0.9323797139141743,1,0.8784440842787682,1
calibrated_control,441,global_threshold,0.97125,0.004781333333333333,0.04883333333333333,0.9837486457204767,0.0314192849404117,0.9564369310793238,0.06404421326397919,0.8768233387358185,0.20745542949756887
calibrated_control,441,stratum_threshold,0.9778333333333333,0.0053679999999999995,0.0855,0.9837486457204767,0.0314192849404117,0.9772431729518856,0.08647594278283485,0.9011345218800648,0.8087520259319287
calibrated_control,441,oracle,0.9948333333333333,0.005109333333333334,0.06933333333333333,0.9989165763813651,0.04574455278680631,0.9918725617685306,0.09427828348504551,0.9546191247974068,0.2625607779578606
calibrated_control,442,strong_only,0.9543333333333334,0.02,1,0.9656116135173727,1,0.9336209757716561,1,0.8987993138936535,1
calibrated_control,442,global_threshold,0.9720833333333333,0.004794666666666667,0.049666666666666665,0.98286530223703,0.030699666825321277,0.9634915366744109,0.07633587786259542,0.8610634648370498,0.18524871355060035
calibrated_control,442,stratum_threshold,0.9793333333333333,0.0053679999999999995,0.0855,0.98286530223703,0.030699666825321277,0.9820776634583471,0.09558579488881513,0.9142367066895368,0.823327615780446
calibrated_control,442,oracle,0.995,0.005102666666666667,0.06891666666666667,0.9982151356496907,0.0447405997144217,0.9930302024560239,0.10089611682708265,0.9588336192109777,0.2521440823327616
calibrated_control,443,strong_only,0.95325,0.02,1,0.9646153846153847,1,0.9316558993539612,1,0.8998357963875205,1
calibrated_control,443,global_threshold,0.9730833333333333,0.004753333333333334,0.04708333333333333,0.9835502958579881,0.03076923076923077,0.9595375722543352,0.06834410064603877,0.8932676518883416,0.17077175697865354
calibrated_control,443,stratum_threshold,0.9803333333333333,0.005344,0.084,0.9835502958579881,0.03076923076923077,0.9809588575314518,0.09112546752805169,0.9326765188834154,0.7881773399014779
calibrated_control,443,oracle,0.9958333333333333,0.005077333333333333,0.06733333333333333,0.9979881656804733,0.04402366863905326,0.9925195511730703,0.09656579394763685,0.9819376026272578,0.24958949096880131
calibrated_control,444,strong_only,0.9555,0.02,1,0.9634334560132969,1,0.9417085427135679,1,0.9121621621621622,1
calibrated_control,444,global_threshold,0.9721666666666666,0.004726666666666666,0.04541666666666667,0.9820728956428826,0.03134275198860263,0.9608040201005025,0.06331658291457286,0.8885135135135135,0.1554054054054054
calibrated_control,444,stratum_threshold,0.9790833333333333,0.005298666666666667,0.08116666666666666,0.9820728956428826,0.03134275198860263,0.9809045226130654,0.08509212730318258,0.9273648648648649,0.7702702702702703
calibrated_control,444,oracle,0.9961666666666666,0.005072,0.067,0.9983378843642408,0.04653923780125846,0.9939698492462311,0.09313232830820771,0.9763513513513513,0.22635135135135134
calibrated_control,445,strong_only,0.95375,0.02,1,0.966866028708134,1,0.9321311475409836,1,0.8796610169491526,1
calibrated_control,445,global_threshold,0.97175,0.004792,0.0495,0.9843301435406698,0.02930622009569378,0.9583606557377049,0.0760655737704918,0.8627118644067797,0.19830508474576272
calibrated_control,445,stratum_threshold,0.9798333333333333,0.005372,0.08575,0.9843301435406698,0.02930622009569378,0.9819672131147541,0.10098360655737705,0.9050847457627119,0.8067796610169492
calibrated_control,445,oracle,0.9943333333333333,0.005084,0.06775,0.9973684210526316,0.04007177033492823,0.9921311475409836,0.10491803278688525,0.9627118644067797,0.2677966101694915
calibrated_control,446,strong_only,0.9540833333333333,0.02,1,0.9659620207810821,1,0.9324055666003976,1,0.8981937602627258,1
calibrated_control,446,global_threshold,0.9723333333333334,0.004758666666666667,0.04741666666666667,0.9825630001194315,0.029021855965603725,0.963220675944334,0.06925115970841617,0.8768472906403941,0.1921182266009852
calibrated_control,446,stratum_threshold,0.9785833333333334,0.005326666666666667,0.08291666666666667,0.9825630001194315,0.029021855965603725,0.9801192842942346,0.08714380384360504,0.916256157635468,0.8029556650246306
calibrated_control,446,oracle,0.9954166666666666,0.0050746666666666666,0.06716666666666667,0.9983279589155619,0.043473068195389944,0.9930417495029821,0.09476474486414845,0.9671592775041051,0.2561576354679803
calibrated_control,447,strong_only,0.95875,0.02,1,0.9689075630252101,1,0.9450441609421001,1,0.8890701468189234,1
calibrated_control,447,global_threshold,0.97375,0.004785333333333333,0.04908333333333333,0.9843937575030012,0.03241296518607443,0.9646712463199215,0.06967615309126594,0.8743882544861338,0.1729200652528548
calibrated_control,447,stratum_threshold,0.9809166666666667,0.005386666666666666,0.08666666666666667,0.9843937575030012,0.03241296518607443,0.985279685966634,0.0919201831861302,0.9119086460032626,0.797716150081566
calibrated_control,447,oracle,0.9963333333333333,0.0051080000000000006,0.06925,0.9986794717887155,0.04561824729891957,0.9941118743866536,0.09551848217206411,0.9755301794453507,0.25938009787928223
calibrated_control,448,strong_only,0.9539166666666666,0.02,1,0.9655172413793104,1,0.9297647459938629,1,0.9052631578947369,1
