repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
103,no-pause-80,open_loop,80,3969,3968,79.38,16.731179657079338,55.19300486776774,85.10661326062109,136.82824072866788,true
103,no-pause-80,closed_loop,80,3955,3954,79.1,10.172598136166926,20.939782752204337,29.323373086561332,56.61399912365232,true
104,no-pause-80,open_loop,80,4050,4050,81,17.195503573057067,54.6029141110339,78.47161390837937,103.24829421787581,true
104,no-pause-80,closed_loop,80,3957,3955,79.14,9.949451156222494,21.254051427233208,28.522755835008866,44.15795041258025,true
105,no-pause-80,open_loop,80,4104,4102,82.08,17.70157297028345,56.670662074502616,87.55233226556447,134.57744848664515,true
105,no-pause-80,closed_loop,80,3952,3950,79.04,10.228734471369535,21.68811501131131,30.410645648589707,40.83438733982621,true
106,no-pause-80,open_loop,80,3997,3996,79.94,17.06232875202477,59.664724278249196,79.14215937774861,104.25016157852588,true
106,no-pause-80,closed_loop,80,3954,3954,79.08,10.02587588877941,21.69456059870936,28.775877929125272,45.89401210628421,true
107,no-pause-80,open_loop,80,4141,4140,82.82,18.34342248836765,71.44392331978452,99.2940441815881,124.56989879343746,true
107,no-pause-80,closed_loop,80,3957,3956,79.14,9.988057523809402,21.207565823155164,28.485857452629716,41.48659224977018,true
108,no-pause-80,open_loop,80,3878,3878,77.56,15.231600171307946,49.071822313540906,70.07021880628963,107.1731316511432,true
108,no-pause-80,closed_loop,80,3952,3952,79.04,10.183134494865953,21.82789297806994,28.677326443626953,43.06151086005411,true
109,no-pause-80,open_loop,80,3977,3971,79.54,16.621990856247066,54.205453857975954,84.97062260490202,112.33138650181354,true
109,no-pause-80,closed_loop,80,3954,3953,79.08,10.149711928461329,21.44019728593412,28.618284427233448,39.43758724750114,true
110,no-pause-80,open_loop,80,4033,4032,80.66,17.151310251283576,52.85637268636856,70.70178568639676,113.33897325522412,true
110,no-pause-80,closed_loop,80,3953,3952,79.06,10.165970668182126,21.270247097585525,28.96476345588235,41.05871105353799,true
111,no-pause-80,open_loop,80,4070,4068,81.4,17.089763290419796,62.988914432775346,80.43362211392014,102.77722341122717,true
111,no-pause-80,closed_loop,80,3956,3956,79.12,10.114242314921285,21.837944813392824,30.175929660676047,43.917258825364115,true
