scenario,repeat,policy,fieldAccuracy,wholeAccuracy,longAccuracy,criticalAccuracy,approved,falseApproval
mixed-correlated,75,whole-call,0.9944756439995116,0.9473333333333334,0.9057492931196984,0.9941666666666666,0,0
mixed-correlated,75,joint-long-schema,0.9944756439995116,0.9473333333333334,0.9057492931196984,0.9941666666666666,0,0
mixed-correlated,76,field-average,0.994869915720044,0.9503333333333334,0.916988416988417,0.9946666666666667,1,0
mixed-correlated,76,whole-call,0.994869915720044,0.9503333333333334,0.916988416988417,0.9946666666666667,1,0
mixed-correlated,76,joint-long-schema,0.994869915720044,0.9503333333333334,0.916988416988417,0.9946666666666667,1,0
mixed-correlated,77,field-average,0.9949678418294426,0.9506666666666667,0.9085923217550275,0.9953333333333333,1,0
mixed-correlated,77,whole-call,0.9949678418294426,0.9506666666666667,0.9085923217550275,0.9953333333333333,1,0
mixed-correlated,77,joint-long-schema,0.9949678418294426,0.9506666666666667,0.9085923217550275,0.9953333333333333,1,0
mixed-correlated,78,field-average,0.9949964046021093,0.949,0.9098591549295775,0.9941666666666666,1,1
mixed-correlated,78,whole-call,0.9949964046021093,0.949,0.9098591549295775,0.9941666666666666,0,0
mixed-correlated,78,joint-long-schema,0.9949964046021093,0.949,0.9098591549295775,0.9941666666666666,0,0
mixed-correlated,79,field-average,0.9945626195028681,0.954,0.9227799227799228,0.9943333333333333,1,0
mixed-correlated,79,whole-call,0.9945626195028681,0.954,0.9227799227799228,0.9943333333333333,1,0
mixed-correlated,79,joint-long-schema,0.9945626195028681,0.954,0.9227799227799228,0.9943333333333333,1,0
mixed-correlated,80,field-average,0.9941682950659502,0.9466666666666667,0.9049466537342385,0.9931666666666666,1,1
mixed-correlated,80,whole-call,0.9941682950659502,0.9466666666666667,0.9049466537342385,0.9931666666666666,0,0
mixed-correlated,80,joint-long-schema,0.9941682950659502,0.9466666666666667,0.9049466537342385,0.9931666666666666,0,0
mixed-correlated,81,field-average,0.994869179068651,0.9466666666666667,0.8984674329501916,0.9961666666666666,1,1
mixed-correlated,81,whole-call,0.994869179068651,0.9466666666666667,0.8984674329501916,0.9961666666666666,0,0
mixed-correlated,81,joint-long-schema,0.994869179068651,0.9466666666666667,0.8984674329501916,0.9961666666666666,0,0
mixed-correlated,82,field-average,0.9953862136396969,0.956,0.9235912129894938,0.995,1,0
mixed-correlated,82,whole-call,0.9953862136396969,0.956,0.9235912129894938,0.995,1,0
mixed-correlated,82,joint-long-schema,0.9953862136396969,0.956,0.9235912129894938,0.995,1,0
mixed-correlated,83,field-average,0.9947851999006705,0.9516666666666667,0.9067961165048544,0.9945,1,0
mixed-correlated,83,whole-call,0.9947851999006705,0.9516666666666667,0.9067961165048544,0.9945,1,0
mixed-correlated,83,joint-long-schema,0.9947851999006705,0.9516666666666667,0.9067961165048544,0.9945,1,0
mixed-correlated,84,field-average,0.9954223272297696,0.952,0.904275092936803,0.9965,1,0
mixed-correlated,84,whole-call,0.9954223272297696,0.952,0.904275092936803,0.9965,1,0
mixed-correlated,84,joint-long-schema,0.9954223272297696,0.952,0.904275092936803,0.9965,1,0
mixed-correlated,85,field-average,0.995274445656125,0.952,0.9050445103857567,0.9953333333333333,1,0
mixed-correlated,85,whole-call,0.995274445656125,0.952,0.9050445103857567,0.9953333333333333,1,0
mixed-correlated,85,joint-long-schema,0.995274445656125,0.952,0.9050445103857567,0.9953333333333333,1,0
mixed-correlated,86,field-average,0.9941967575534266,0.9443333333333334,0.8955078125,0.9943333333333333,1,1
mixed-correlated,86,whole-call,0.9941967575534266,0.9443333333333334,0.8955078125,0.9943333333333333,0,0
