workload,rate,repeat,requests,mean_tokens,p50_tokens,p95_tokens,p99_tokens,long_fraction
fixed-control,2.5,49,726,900,900,900,900,0
fixed-control,2.5,50,735,900,900,900,900,0
fixed-control,2.5,51,754,900,900,900,900,0
fixed-control,2.5,52,770,900,900,900,900,0
fixed-control,2.5,53,738,900,900,900,900,0
fixed-control,2.5,54,712,900,900,900,900,0
fixed-control,2.5,55,783,900,900,900,900,0
fixed-control,2.5,56,714,900,900,900,900,0
fixed-control,2.5,57,740,900,900,900,900,0
fixed-control,2.5,58,712,900,900,900,900,0
fixed-control,2.5,59,763,900,900,900,900,0
fixed-control,2.5,60,788,900,900,900,900,0
fixed-control,2.5,61,748,900,900,900,900,0
fixed-control,2.5,62,741,900,900,900,900,0
fixed-control,2.5,63,751,900,900,900,900,0
fixed-control,2.5,64,724,900,900,900,900,0
fixed-control,2.5,65,752,900,900,900,900,0
fixed-control,2.5,66,760,900,900,900,900,0
fixed-control,2.5,67,760,900,900,900,900,0
fixed-control,2.5,68,759,900,900,900,900,0
fixed-control,2.5,69,794,900,900,900,900,0
fixed-control,2.5,70,745,900,900,900,900,0
fixed-control,2.5,71,775,900,900,900,900,0
fixed-control,2.5,72,746,900,900,900,900,0
fixed-control,2.5,73,758,900,900,900,900,0
fixed-control,2.5,74,785,900,900,900,900,0
fixed-control,2.5,75,768,900,900,900,900,0
fixed-control,2.5,76,766,900,900,900,900,0
fixed-control,2.5,77,709,900,900,900,900,0
fixed-control,2.5,78,742,900,900,900,900,0
fixed-control,2.5,79,783,900,900,900,900,0
fixed-control,4,0,1240,900,900,900,900,0
fixed-control,4,1,1197,900,900,900,900,0
fixed-control,4,2,1168,900,900,900,900,0
fixed-control,4,3,1239,900,900,900,900,0
fixed-control,4,4,1138,900,900,900,900,0
fixed-control,4,5,1194,900,900,900,900,0
fixed-control,4,6,1180,900,900,900,900,0
fixed-control,4,7,1189,900,900,900,900,0
fixed-control,4,8,1256,900,900,900,900,0
fixed-control,4,9,1152,900,900,900,900,0
fixed-control,4,10,1163,900,900,900,900,0
fixed-control,4,11,1206,900,900,900,900,0
fixed-control,4,12,1189,900,900,900,900,0
fixed-control,4,13,1163,900,900,900,900,0
fixed-control,4,14,1151,900,900,900,900,0
fixed-control,4,15,1247,900,900,900,900,0
fixed-control,4,16,1190,900,900,900,900,0
fixed-control,4,17,1227,900,900,900,900,0
fixed-control,4,18,1169,900,900,900,900,0
fixed-control,4,19,1246,900,900,900,900,0
fixed-control,4,20,1162,900,900,900,900,0
fixed-control,4,21,1219,900,900,900,900,0
fixed-control,4,22,1216,900,900,900,900,0
fixed-control,4,23,1170,900,900,900,900,0
fixed-control,4,24,1269,900,900,900,900,0
fixed-control,4,25,1158,900,900,900,900,0
fixed-control,4,26,1208,900,900,900,900,0
fixed-control,4,27,1176,900,900,900,900,0
fixed-control,4,28,1139,900,900,900,900,0
fixed-control,4,29,1230,900,900,900,900,0
fixed-control,4,30,1214,900,900,900,900,0
fixed-control,4,31,1208,900,900,900,900,0
fixed-control,4,32,1232,900,900,900,900,0
fixed-control,4,33,1224,900,900,900,900,0
fixed-control,4,34,1227,900,900,900,900,0
fixed-control,4,35,1173,900,900,900,900,0
fixed-control,4,36,1208,900,900,900,900,0
fixed-control,4,37,1140,900,900,900,900,0
fixed-control,4,38,1197,900,900,900,900,0
fixed-control,4,39,1187,900,900,900,900,0
fixed-control,4,40,1168,900,900,900,900,0
fixed-control,4,41,1227,900,900,900,900,0
fixed-control,4,42,1174,900,900,900,900,0
fixed-control,4,43,1205,900,900,900,900,0
fixed-control,4,44,1190,900,900,900,900,0
fixed-control,4,45,1202,900,900,900,900,0
fixed-control,4,46,1187,900,900,900,900,0
fixed-control,4,47,1223,900,900,900,900,0
fixed-control,4,48,1210,900,900,900,900,0
fixed-control,4,49,1186,900,900,900,900,0
fixed-control,4,50,1255,900,900,900,900,0
fixed-control,4,51,1190,900,900,900,900,0
fixed-control,4,52,1192,900,900,900,900,0
fixed-control,4,53,1208,900,900,900,900,0
fixed-control,4,54,1187,900,900,900,900,0
fixed-control,4,55,1234,900,900,900,900,0
fixed-control,4,56,1181,900,900,900,900,0
fixed-control,4,57,1214,900,900,900,900,0
fixed-control,4,58,1147,900,900,900,900,0
fixed-control,4,59,1240,900,900,900,900,0
fixed-control,4,60,1204,900,900,900,900,0
fixed-control,4,61,1237,900,900,900,900,0
fixed-control,4,62,1248,900,900,900,900,0
fixed-control,4,63,1220,900,900,900,900,0
fixed-control,4,64,1172,900,900,900,900,0
fixed-control,4,65,1185,900,900,900,900,0
fixed-control,4,66,1160,900,900,900,900,0
fixed-control,4,67,1204,900,900,900,900,0
fixed-control,4,68,1190,900,900,900,900,0
fixed-control,4,69,1247,900,900,900,900,0
fixed-control,4,70,1198,900,900,900,900,0
fixed-control,4,71,1192,900,900,900,900,0
fixed-control,4,72,1217,900,900,900,900,0
fixed-control,4,73,1225,900,900,900,900,0
fixed-control,4,74,1176,900,900,900,900,0
fixed-control,4,75,1210,900,900,900,900,0
fixed-control,4,76,1199,900,900,900,900,0
fixed-control,4,77,1252,900,900,900,900,0
