repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
65,no-pause-80,closed_loop,80,3960,3960,79.2,9.943456227156275,20.82486229812639,26.742909963140846,33.7359229680078,true
66,no-pause-80,open_loop,80,4000,3999,80,8.906905398809613,16.61074230358645,21.73242625119019,36.86831280373008,true
66,no-pause-80,closed_loop,80,3958,3957,79.16,9.979001531435642,20.805943825696886,28.12131417022465,42.561196842107165,true
67,no-pause-80,open_loop,80,4000,3999,80,8.850439930116409,15.991922075998446,20.56959859374001,44.729676907933026,true
67,no-pause-80,closed_loop,80,3950,3949,79,10.264127250557067,21.821141841206554,28.804345916832972,45.48171512041881,true
68,no-pause-80,open_loop,80,4000,3999,80,8.878486452220386,16.57300936555839,21.362526461074594,34.282347331933124,true
68,no-pause-80,closed_loop,80,3950,3949,79,10.321615233180637,21.47867313176903,28.856138055522024,45.25337363973813,true
69,no-pause-80,open_loop,80,4000,4000,80,8.88484685246658,16.666121219132037,21.240494077188487,30.812622196441225,true
69,no-pause-80,closed_loop,80,3956,3956,79.12,9.96365666845304,22.124474449068657,29.143167112859373,49.91967373384614,true
70,no-pause-80,open_loop,80,4000,4000,80,9.032190693425946,16.614999264347716,21.581037435433245,29.832361170054355,true
70,no-pause-80,closed_loop,80,3956,3956,79.12,10.007401091592328,21.4427032260719,28.179435550162452,47.91704563128587,true
71,no-pause-80,open_loop,80,4000,3999,80,8.988570006717055,17.2633941042659,22.812051053006144,36.450456264068634,true
71,no-pause-80,closed_loop,80,3951,3950,79.02,10.207098776802013,21.958989639133506,30.827978935329156,43.327353135679004,true
72,no-pause-80,open_loop,80,4000,3999,80,8.957424541069486,16.724586417953105,21.031626281859644,30.467705824688892,true
72,no-pause-80,closed_loop,80,3951,3951,79.02,10.151865790008742,21.50930026511196,30.5696748287628,51.62022554944815,true
73,no-pause-80,open_loop,80,4000,3999,80,8.920678399161261,17.08286107019012,22.639842961059912,30.696496832813864,true
73,no-pause-80,closed_loop,80,3956,3955,79.12,10.050298313013627,21.40235716598545,29.13738744564762,41.915999157299666,true
74,no-pause-80,open_loop,80,4000,4000,80,8.812579466226452,16.05504988345274,20.028265565484617,30.222496894784854,true
74,no-pause-80,closed_loop,80,3958,3956,79.16,9.981800801400823,21.01875413750895,27.384918190226017,40.3794541425159,true
75,no-pause-80,open_loop,80,4000,3999,80,8.837663485765006,16.331302458551363,21.381313365905953,38.81702728925302,true
