load_per_second,fault_shape,policy,repeat,requests,success_rate,attempt_amplification,p95_latency_seconds,peak_attempts_per_second,overload_failures,fault_failures,retries_denied,bad_tick_fraction
60,independent,immediate_three,42,18014,0.9998889752414788,1.0572332630176529,0.1,95,380,653,0,1.0
60,independent,exponential_no_jitter,42,18014,0.9997224381036971,1.0586210724991674,0.5,89,358,703,0,1.0
60,independent,exponential_full_jitter,42,18014,0.9997779504829577,1.0574553125346953,0.1,93,344,695,0,1.0
60,independent,budgeted_full_jitter,42,18014,0.9998889752414788,1.0571777506383924,0.1,94,378,654,0,1.0
60,independent,no_retry,43,17796,0.9518993032142055,1.0,0.0,87,227,629,0,1.0
60,independent,immediate_three,43,17796,0.9999438075972129,1.054562823106316,0.1,104,344,628,0,1.0
60,independent,exponential_no_jitter,43,17796,0.9998314227916386,1.054899977523039,0.5,95,327,653,0,1.0
60,independent,exponential_full_jitter,43,17796,0.9998314227916386,1.0580467520791188,0.1,101,337,699,0,1.0
60,independent,budgeted_full_jitter,43,17796,0.99960665318049,1.0551247471341874,0.1,105,327,661,6,1.0
60,independent,no_retry,44,17980,0.9492213570634038,1.0,0.0,95,235,678,0,1.0
60,independent,immediate_three,44,17980,0.9995550611790879,1.0556173526140156,0.1,111,364,644,0,1.0
60,independent,exponential_no_jitter,44,17980,0.999888765294772,1.0582313681868742,0.5,108,386,663,0,1.0
60,independent,exponential_full_jitter,44,17980,0.9998331479421579,1.0582869855394883,0.1,106,352,699,0,1.0
60,independent,budgeted_full_jitter,44,17980,0.999888765294772,1.0527252502780868,0.1,106,314,636,0,1.0
60,independent,no_retry,45,17867,0.9511949403929031,1.0,0.0,90,200,672,0,1.0
60,independent,immediate_three,45,17867,0.99972015447473,1.0536743717467958,0.0,100,306,658,0,1.0
60,independent,exponential_no_jitter,45,17867,0.999944030894946,1.054793753847876,0.5,100,306,674,0,1.0
60,independent,exponential_full_jitter,45,17867,0.999832092684838,1.0530027424861477,0.1,100,305,645,0,1.0
60,independent,budgeted_full_jitter,45,17867,0.999888061789892,1.0522751441204454,0.0,102,274,662,0,1.0
60,independent,no_retry,46,18105,0.9507318420325876,1.0,0.0,90,240,652,0,1.0
60,independent,immediate_three,46,18105,0.9997238331952499,1.0583816625241647,0.1,116,382,680,0,1.0
60,independent,exponential_no_jitter,46,18105,0.9995028997514499,1.0584921292460647,0.5,98,400,668,0,1.0
60,independent,exponential_full_jitter,46,18105,0.9997238331952499,1.0547362607014636,0.1,97,351,645,0,1.0
60,independent,budgeted_full_jitter,46,18105,0.9997238331952499,1.0530240265120132,0.1,103,345,620,0,1.0
60,independent,no_retry,47,17789,0.9521614480858958,1.0,0.0,87,222,629,0,1.0
60,independent,immediate_three,47,17789,0.9998875709708247,1.0539097194895721,0.1,95,316,645,0,1.0
60,independent,exponential_no_jitter,47,17789,0.999831356456237,1.0568890887627185,0.5,97,369,646,0,1.0
60,independent,exponential_full_jitter,47,17789,0.9999437854854123,1.0553150823542639,0.1,97,299,686,0,1.0
60,independent,budgeted_full_jitter,47,17789,0.9999437854854123,1.0557085839563776,0.1,92,300,692,0,1.0
60,independent,no_retry,48,17931,0.9539902961351848,1.0,0.0,87,230,595,0,1.0
60,independent,immediate_three,48,17931,0.9998326919859462,1.056828955440299,0.1,96,350,672,0,1.0
60,independent,exponential_no_jitter,48,17931,0.9997769226479282,1.0601193463833585,0.5,93,369,713,0,1.0
60,independent,exponential_full_jitter,48,17931,0.9997211533099102,1.056605878088227,0.1,93,340,680,0,1.0
60,independent,budgeted_full_jitter,48,17931,0.9998884613239641,1.0583347275667838,0.1,100,350,698,0,1.0
60,independent,no_retry,49,17944,0.9525746767721801,1.0,0.0,88,238,613,0,1.0
60,independent,immediate_three,49,17944,0.9993312527864467,1.0606888096299598,0.1,111,426,675,0,1.0
60,independent,exponential_no_jitter,49,17944,0.9999442710655372,1.0570106999554167,0.5,100,353,671,0,1.0
60,independent,exponential_full_jitter,49,17944,0.9998328131966117,1.0592955862683906,0.1,105,369,698,0,1.0
60,independent,budgeted_full_jitter,49,17944,0.9998885421310745,1.0561190370040126,0.1,103,341,668,2,1.0
60,independent,no_retry,50,17940,0.955685618729097,1.0,0.0,86,216,579,0,1.0
60,independent,immediate_three,50,17940,0.9997770345596433,1.0563545150501672,0.1,99,347,668,0,1.0
60,independent,exponential_no_jitter,50,17940,0.9998885172798216,1.0594202898550724,0.5,94,345,723,0,1.0
60,independent,exponential_full_jitter,50,17940,1.0,1.0531772575250835,0.1,94,301,653,0,1.0
60,independent,budgeted_full_jitter,50,17940,0.9998885172798216,1.0527870680044593,0.1,98,308,641,0,1.0
60,independent,no_retry,51,18055,0.9533093325948491,1.0,0.0,85,213,630,0,1.0
60,independent,immediate_three,51,18055,0.9997784547216837,1.0531154804763223,0.0,100,339,624,0,1.0
60,independent,exponential_no_jitter,51,18055,0.9996676820825257,1.0556078648573801,0.5,92,335,675,0,1.0
60,independent,exponential_full_jitter,51,18055,0.999944613680421,1.0530600941567432,0.1,97,310,649,0,1.0
60,independent,budgeted_full_jitter,51,18055,0.999944613680421,1.05621711437275,0.1,95,327,689,0,1.0
60,independent,no_retry,52,18170,0.9541552008805724,1.0,0.0,84,212,621,0,1.0
60,independent,immediate_three,52,18170,0.9996697853604843,1.0572922399559714,0.1,103,357,690,0,1.0
60,independent,exponential_no_jitter,52,18170,0.9997798569069896,1.051073197578426,0.0,91,315,617,0,1.0
60,independent,exponential_full_jitter,52,18170,0.9998348926802422,1.0536048431480463,0.1,96,326,651,0,1.0
60,independent,budgeted_full_jitter,52,18170,0.9998348926802422,1.0557512383048981,0.1,102,333,683,2,1.0
60,independent,no_retry,53,18076,0.9518145607435273,1.0,0.0,89,243,628,0,1.0
