model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,29,b8-2ms,90.14,0,8.400000000001455,12.62085550615302,13.468883427070978,1,1.2508098102730218
batch-efficient,poisson,90,29,b8-5ms,90.14,0,11.400000000001455,12.738188354487647,13.71134741863716,1,1.4016074669432201
batch-efficient,poisson,90,29,b16-5ms,90.14,0,11.400000000001455,12.738188354487647,13.71134741863716,1,1.4016074669432201
batch-efficient,poisson,90,29,b16-10ms,90.14,0,12.92250596654776,17.48504251527629,17.941887789405882,1,1.6587910401963792
batch-efficient,poisson,90,30,single,89.14,0,7.946537140178407,20.846822345862165,27.98210695763919,0.9800314112631815,1
batch-efficient,poisson,90,30,b4-now,89.14,0,6.572829140473914,12.551221870809968,13.325084789765242,1,1.134793597304128
batch-efficient,poisson,90,30,b4-2ms,89.14,0,8.400000000001455,12.499167643880355,13.413702916815964,1,1.2386206896551724
batch-efficient,poisson,90,30,b8-2ms,89.14,0,8.400000000001455,12.499167643880355,13.41291025132523,1,1.2386206896551724
batch-efficient,poisson,90,30,b8-5ms,89.14,0,11.400000000001455,12.653874988835014,13.5434735029703,1,1.381184311714945
batch-efficient,poisson,90,30,b16-5ms,89.14,0,11.400000000001455,12.653874988835014,13.5434735029703,1,1.381184311714945
batch-efficient,poisson,90,30,b16-10ms,89.14,0,12.88259408322483,17.485042515272653,17.941887789405882,1,1.6352048558421852
batch-efficient,poisson,90,31,single,89.48,0,7.973340004837155,21.936952300013218,35.50403265218483,0.9680375502905677,1
