model,pattern,rate,repeat,policy,throughput_rps,drop_rate,p50_ms,p95_ms,p99_ms,slo_attainment,mean_batch_size
batch-efficient,poisson,90,25,b4-now,90.8,0,7.000788592047684,12.61696657036373,13.482576906048052,1,1.1403435274403015
batch-efficient,poisson,90,25,b4-2ms,90.8,0,8.400000000001455,12.624153350785491,13.40136913900642,1,1.24491195975303
batch-efficient,poisson,90,25,b8-2ms,90.8,0,8.400000000001455,12.624153350785491,13.386635119921266,1,1.2451967063129004
batch-efficient,poisson,90,25,b8-5ms,90.8,0,11.400000000001455,12.752021890628384,13.512934158694407,1,1.3955396052294284
batch-efficient,poisson,90,25,b16-5ms,90.8,0,11.400000000001455,12.752021890628384,13.512934158694407,1,1.3955396052294284
batch-efficient,poisson,90,25,b16-10ms,90.8,0,12.898491922271205,17.48504251527629,17.941887789405882,1,1.6422322775263951
batch-efficient,poisson,90,26,single,88.18,0,7.944193553645164,20.539217700901645,29.620544500059623,0.9798140167838512,1
batch-efficient,poisson,90,26,b4-now,88.18,0,6.402581545069552,12.582658337203611,13.312183540736442,1,1.1352615908124202
batch-efficient,poisson,90,26,b4-2ms,88.18,0,8.400000000001455,12.467695681301848,13.335495392322628,1,1.2385150812064964
batch-efficient,poisson,90,26,b8-2ms,88.18,0,8.400000000001455,12.467695681301848,13.319797484626179,1,1.2385150812064964
batch-efficient,poisson,90,26,b8-5ms,88.18,0,11.400000000001455,12.609780172693718,13.36145708343247,1,1.3846952010376135
batch-efficient,poisson,90,26,b16-5ms,88.18,0,11.400000000001455,12.609780172693718,13.36145708343247,1,1.3846952010376135
batch-efficient,poisson,90,26,b16-10ms,88.18,0,12.910346131960978,17.485042515272653,17.941887789405882,1,1.6329152646069134
batch-efficient,poisson,90,27,single,92.44,0,8.653457093812904,25.215593782970245,35.44271890530581,0.9472090004327132,1
batch-efficient,poisson,90,27,b4-now,92.44,0,6.947042368752591,12.629013852762,13.385173860180657,1,1.1526557925554162
batch-efficient,poisson,90,27,b4-2ms,92.44,0,8.400000000001455,12.587425553756475,13.504237510896928,1,1.260461925451635
batch-efficient,poisson,90,27,b8-2ms,92.44,0,8.400000000001455,12.587425553756475,13.504237510896928,1,1.260461925451635
batch-efficient,poisson,90,27,b8-5ms,92.44,0,11.400000000001455,12.677970848784753,13.721067563768884,1,1.4108011261837727
batch-efficient,poisson,90,27,b16-5ms,92.44,0,11.400000000001455,12.677970848784753,13.721067563768884,1,1.4108011261837727
batch-efficient,poisson,90,27,b16-10ms,92.44,0,12.894374240106117,17.48504251527629,17.941887789405882,1,1.6713159490600364
batch-efficient,poisson,90,28,single,90.8,0,8.329854574014462,23.52120113253477,34.09636558079001,0.9581497797356828,1
batch-efficient,poisson,90,28,b4-now,90.8,0,6.726325162315334,12.604999203998887,13.356049373593123,1,1.1438818565400843
batch-efficient,poisson,90,28,b4-2ms,90.8,0,8.400000000001455,12.569717502832646,13.61081070680666,1,1.247583985273815
batch-efficient,poisson,90,28,b8-2ms,90.8,0,8.400000000001455,12.569717502832646,13.608620354891173,1,1.247583985273815
batch-efficient,poisson,90,28,b8-5ms,90.8,0,11.400000000001455,12.673963529890898,13.432935717944929,1,1.3981433728726147
batch-efficient,poisson,90,28,b16-5ms,90.8,0,11.400000000001455,12.673963529890898,13.432935717944929,1,1.3981433728726147
batch-efficient,poisson,90,28,b16-10ms,90.8,0,12.81599481277226,17.48504251527629,17.941887789405882,1,1.6555725190839694
batch-efficient,poisson,90,29,single,90.14,0,8.52350586038665,24.234977309475653,33.37482566932158,0.9551808298202795,1
batch-efficient,poisson,90,29,b4-now,90.14,0,6.865590843939572,12.608244925460895,13.382246378067066,1,1.1429175475687103
batch-efficient,poisson,90,29,b4-2ms,90.14,0,8.400000000001455,12.621190725578344,13.468883427070978,1,1.2508098102730218
