repeat,condition,endpoint,deadline,successRate,completedOnlyP95,deadlineAwareP95,latentP95,restrictedMean,timeoutRate
10,main,fast_spiky,16,0.9936,1.55968338894557,8.49369049515932,8.49369049515932,1.529013586641492,0.006399999999999961
10,no_tail_control,fast_spiky,16,1,1.2335943354348107,1.2335943354348107,1.2335943354348107,0.91000194546781,0
11,main,steady,2,0.8286,1.9232793261257932,2,2.388367442290603,1.5833634300427954,0.1714
11,main,fast_spiky,2,0.9384,1.2407266073027396,2,9.622329783175688,0.9784130371255291,0.06159999999999999
11,no_tail_control,fast_spiky,2,1,1.2400164233237587,1.2400164233237587,1.2400164233237587,0.9116118445791089,0
11,main,steady,4,1,2.388367442290603,2.388367442290603,2.388367442290603,1.6359627505277676,0
11,main,fast_spiky,4,0.9384,1.2407266073027396,4,9.622329783175688,1.1016130371255293,0.06159999999999999
11,no_tail_control,fast_spiky,4,1,1.2400164233237587,1.2400164233237587,1.2400164233237587,0.9116118445791089,0
11,main,steady,8,1,2.388367442290603,2.388367442290603,2.388367442290603,1.6359627505277676,0
11,main,fast_spiky,8,0.9416,1.2469572043264772,8,9.622329783175688,1.34542043987945,0.05840000000000001
11,no_tail_control,fast_spiky,8,1,1.2400164233237587,1.2400164233237587,1.2400164233237587,0.9116118445791089,0
11,main,steady,16,1,2.388367442290603,2.388367442290603,2.388367442290603,1.6359627505277676,0
11,main,fast_spiky,16,0.9918,8.19230386980888,9.622329783175688,9.622329783175688,1.594933365482497,0.008199999999999985
11,no_tail_control,fast_spiky,16,1,1.2400164233237587,1.2400164233237587,1.2400164233237587,0.9116118445791089,0
12,main,steady,2,0.8126,1.9271204297192708,2,2.4144702819759845,1.5958835296704124,0.1874
12,main,fast_spiky,2,0.9386,1.2519440688096504,2,9.705183278214909,0.9851922764944898,0.06140000000000001
12,no_tail_control,fast_spiky,2,1,1.25084649163656,1.25084649163656,1.25084649163656,0.9195231854737662,0
12,main,steady,4,1,2.4144702819759845,2.4144702819759845,2.4144702819759845,1.6536917532636752,0
12,main,fast_spiky,4,0.9386,1.2519440688096504,4,9.705183278214909,1.1079922764944894,0.06140000000000001
12,no_tail_control,fast_spiky,4,1,1.25084649163656,1.25084649163656,1.25084649163656,0.9195231854737662,0
12,main,steady,8,1,2.4144702819759845,2.4144702819759845,2.4144702819759845,1.6536917532636752,0
12,main,fast_spiky,8,0.9412,1.2567780084982119,8,9.705183278214909,1.3518194722284487,0.05879999999999996
12,no_tail_control,fast_spiky,8,1,1.25084649163656,1.25084649163656,1.25084649163656,0.9195231854737662,0
12,main,steady,16,1,2.4144702819759845,2.4144702819759845,2.4144702819759845,1.6536917532636752,0
12,main,fast_spiky,16,0.9922,8.489257581729701,9.705183278214909,9.705183278214909,1.6123186689196902,0.007800000000000029
12,no_tail_control,fast_spiky,16,1,1.25084649163656,1.25084649163656,1.25084649163656,0.9195231854737662,0
13,main,steady,2,0.8146,1.9296673454203486,2,2.423708444505893,1.5967570312235169,0.1854
13,main,fast_spiky,2,0.943,1.2546737853313097,2,9.08304927860045,0.9816933530456518,0.05700000000000005
13,no_tail_control,fast_spiky,2,1,1.2546737853313097,1.2546737853313097,1.2546737853313097,0.9201667425654441,0
13,main,steady,4,1,2.423708444505893,2.423708444505893,2.423708444505893,1.655106787026354,0
13,main,fast_spiky,4,0.943,1.2546737853313097,4,9.08304927860045,1.0956933530456532,0.05700000000000005
13,no_tail_control,fast_spiky,4,1,1.2546737853313097,1.2546737853313097,1.2546737853313097,0.9201667425654441,0
13,main,steady,8,1,2.423708444505893,2.423708444505893,2.423708444505893,1.655106787026354,0
13,main,fast_spiky,8,0.9454,1.261045983681922,8,9.08304927860045,1.3223559034501127,0.05459999999999998
13,no_tail_control,fast_spiky,8,1,1.2546737853313097,1.2546737853313097,1.2546737853313097,0.9201667425654441,0
13,main,steady,16,1,2.423708444505893,2.423708444505893,2.423708444505893,1.655106787026354,0
13,main,fast_spiky,16,0.9922,1.6419951842609892,9.08304927860045,9.08304927860045,1.5561554110922822,0.007800000000000029
13,no_tail_control,fast_spiky,16,1,1.2546737853313097,1.2546737853313097,1.2546737853313097,0.9201667425654441,0
14,main,steady,2,0.8182,1.922184655817674,2,2.40857747916754,1.5952235481145378,0.18179999999999996
14,main,fast_spiky,2,0.9424,1.2482167359570284,2,9.046376182977662,0.9798821940077034,0.057599999999999985
14,no_tail_control,fast_spiky,2,1,1.2484036229010123,1.2484036229010123,1.2484036229010123,0.9184078938255945,0
14,main,steady,4,0.9998,2.40857747916754,2.40857747916754,2.40857747916754,1.6511217604339137,0.00019999999999997797
14,main,fast_spiky,4,0.9424,1.2482167359570284,4,9.046376182977662,1.0950821940077013,0.057599999999999985
14,no_tail_control,fast_spiky,4,1,1.2484036229010123,1.2484036229010123,1.2484036229010123,0.9184078938255945,0
14,main,steady,8,1,2.40857747916754,2.40857747916754,2.40857747916754,1.651140555416938,0
14,main,fast_spiky,8,0.945,1.255631525206323,8,9.046376182977662,1.3239488989782255,0.05500000000000005
14,no_tail_control,fast_spiky,8,1,1.2484036229010123,1.2484036229010123,1.2484036229010123,0.9184078938255945,0
14,main,steady,16,1,2.40857747916754,2.40857747916754,2.40857747916754,1.651140555416938,0
14,main,fast_spiky,16,0.9918,1.9083703709430766,9.046376182977662,9.046376182977662,1.5675427930409007,0.008199999999999985
