scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,34,pooled_95,0.959,2.2701940067589517,0.9779083019198738,2.2701940067588975,0.5952782462057336,2.270194006758423,0.3826300557141402,593
exchangeable_rare_noisy,34,mondrian,0.9115,1.8406690767122649,0.9123345314280705,1.6914666854464313,0.8954468802698144,4.71073935861705,0.01688765115825608,593
exchangeable_rare_noisy,34,max_slice,0.9948333333333333,4.710739358617706,1,4.710739358617623,0.8954468802698144,4.71073935861705,0.10455311973018555,593
exchangeable_rare_noisy,34,oracle_normalized,0.9115833333333333,1.851812665621096,0.9114578767423512,1.6852534496777627,0.9139966273187183,5.0557603490328775,-0.0025387505763670992,593
exchangeable_rare_noisy,35,pooled,0.904,1.7887175456235291,0.9274675096592905,1.78871754562353,0.4673202614379085,1.7887175456236353,0.460147248221382,612
exchangeable_rare_noisy,35,pooled_95,0.9474166666666667,2.1768664148364145,0.9695293291183702,2.1768664148363994,0.5359477124183006,2.176866414835873,0.43358161670006956,612
exchangeable_rare_noisy,35,mondrian,0.9026666666666666,1.8170341301267632,0.9027924130663857,1.6552037764573941,0.9003267973856209,4.828347966056605,0.0024656156807647545,612
exchangeable_rare_noisy,35,max_slice,0.9949166666666667,4.828347966055166,1,4.828347966055276,0.9003267973856209,4.828347966056605,0.09967320261437906,612
exchangeable_rare_noisy,35,oracle_normalized,0.9018333333333334,1.8192908471982892,0.9019142957499122,1.6508991353887992,0.9003267973856209,4.952697406165963,0.0015874983642912843,612
exchangeable_rare_noisy,36,pooled,0.8954166666666666,1.77185179083939,0.9216650566435409,1.7718517908393723,0.4078303425774878,1.77185179083903,0.5138347140660531,613
exchangeable_rare_noisy,36,pooled_95,0.943,2.1632042913913643,0.9675946254500747,2.163204291391352,0.48613376835236544,2.163204291390978,0.48146085709770925,613
exchangeable_rare_noisy,36,mondrian,0.9004166666666666,1.8245969857881243,0.9012909458154035,1.6629352710191652,0.8841761827079935,4.827601791782982,0.017114763107410003,613
